route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
72,24072ILA_7202,24072ILA_7202_6,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_7,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_8,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_9,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_10,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_11,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_12,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_13,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_14,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_15,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_16,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_17,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_18,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_2,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7203,24072ILA_7203_3,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7203,24072ILA_7203_4,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_5,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_6,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_7,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_8,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7203,24072ILA_7203_9,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_2,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_3,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_4,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_5,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_6,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_7,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_8,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_9,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7213,24072ILA_7213_10,L.QUINTANILLA por SARDINERO,0,,Route_196
41,24EILA_R01,24EILA_R01_2,INTERCAMBIADOR SARDINERO,0,,Route_344
41,24EILA_R01,24EILA_R01_3,INTERCAMBIADOR VALDECILLA,1,,Route_345
3,24EILA_R01,24EILA_R01_4,PASEO DE PEREDA 35,0,,Route_383
3,24EILA_R01,24EILA_R01_5,OJAIZ,1,,Route_11
3,24EILA_R01,24EILA_R01_6,PASEO DE PEREDA 35,0,,Route_383
3,24EILA_R01,24EILA_R01_7,OJAIZ,1,,Route_11
3,24EILA_R01,24EILA_R01_8,RECTORADO,0,,Route_384
61,24EILA_R01,24EILA_R01_9,COMPLEJO DEPORTIVO,0,,Route_366
62,24EILA_R01,24EILA_R01_10,COMPLEJO RUTH BEITIA,0,,Route_367
1,24EILA_R02,24EILA_R02_2,GONZALEZ TREVILLA,0,,Route_380
1,24EILA_R02,24EILA_R02_3,PCTCAN-UNEATLANTICO,1,,Route_372
100,24EILA_R02,24EILA_R02_4,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILA_R02,24EILA_R02_5,INTERCAMBIADOR SARDINERO,0,,Route_394
100,24EILA_R02,24EILA_R02_6,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILA_R02,24EILA_R02_7,INTERCAMBIADOR SARDINERO,0,,Route_394
2,24EILA_R02,24EILA_R02_8,CONSUELO BERGES,0,,Route_382
2,24EILA_R02,24EILA_R02_9,CORBAN,1,,Route_180
71,24EILA_R03,24EILA_R03_2,L.QUINTANILLA,0,,Route_195
12,24EILA_R03,24EILA_R03_3,CARREFOUR,0,,Route_388
12,24EILA_R03,24EILA_R03_4,CARREFOUR,0,,Route_388
51,24EILA_R04,24EILA_R04_2,MIRANDA,0,,Route_189
52,24EILA_R04,24EILA_R04_3,MIRANDA,0,,Route_191
